Preferred term,Category,Source,Source2,Variants,Var source,Variants2,Definition,Definition source,Applicable profession,Related term,Relationship,Related term 2,Relationship2,Main category,Flag,Notes,LCSH Heading,LCSH link,OHP Core
16mm film,TP,PST,,16mm camera,,,16 mm film is a historically popular and economical gauge of film,,,,,,,,,,,,
35mm film,TP,PST,,,,,The standard photographic film format for analog SLR still cameras and motion picture cameras,,,,,,,,,,,,
8mm film,TP,PST,,,,,8 mm film is a motion picture film format in which the film strip is eight millimeters wide,,,,,,,,,,,,
Academy Award,AW,PST,,Oscar,,,Any of a series of awards of the Academy of Motion Picture Arts and Sciences in Hollywood given annually since 1928 for achievement in the movie industry in various categories,,,,,,,,,,,,
Activism,GT,PST,,,,,The policy or action of using vigorous campaigning to bring about political or social change,,,,,,,,,,,,
Adaptation,GT;PC,PST,,,,,"Film adaptation. A film adaptation is the transfer of a written work, in whole or in part, to a feature film",,,,,,,,,,,,
Addiction,GT,PST,,Addict,,,"The fact or condition of being addicted to a particular substance, thing, or activity",,,,,,,,,,,,
Afro-Colombian,GT,PST,,,,,Colombian citizens of African descent,,,,,,,,,,,,
Agent,PC,PST,,,,,A business representative (as of an athlete or entertainer) •,,,,,,,,,,,,
American film industry,GT,PST,,Hollywood Cinema,,American Commercial Cinema,American commercial cinema which has financially and stylistically dominated global markets from World War II to the present,,,,,,,,,,,,
American history,GT,PST,,,,,,,,,,,,,,,,,
Anthropology,GT,PST,,,,,"The study of human beings and their ancestors through time and space and in relation to physical character, environmental and social relations, and culture",,,,,,,,,,,,
Anti-semitism,GT,PST,,,,,Hostility to or prejudice against Jews.,,,,,,,,,,,,
Archaeology,GT,PST,,,,,"The scientific study of material remains (such as fossil relics, artifacts, and monuments) of past human life and activities",,,,,,,,,,,,
Archival material,TP,PST,,,,,,,,,,,,,,,,,
Argentina,GT,PST,,,,,,,,,,,,,,,,,
Ariel Award,AW,PST,,,,,"The Ariel is the Mexican Academy of Film Award. It has been awarded annually since 1947. The award recognizes excellence in motion picture making, such as acting, directing and screenwriting in Mexican cinema. It is considered the most prestigious award in the Mexican movie industry. In cinema, it is considered Mexico's equivalent to the Academy Awards (""Oscars"") of the United States",,,,,,,,,,,,
Art film,GF,PST,,,,,A motion picture produced as an artistic or experimental venture,,,,,,,,,,,,
Assistant,SP,PST,,,,,A person who helps in particular work.,,,,,,,,,,,,
